gene,ctd,number of occurrences
NPY,NDE,6627
ST13,NDE,6586
LOC105372141,NF,6580
LOC100506406,NF,6574
LOC105370757,NF,6559
FAM3A,NF,6544
PLTP,NDE,6534
LOC107986187,NF,6533
LOC105375701,NF,6507
LOC105371952,NF,6494
CLUL1,NDE,6494
NRG1,NDE,6484
TNNI1,NDE,6463
BRPF1,NDE,6462
PCDH11X,NF,6459
LOC105378828,NF,6452
LOC105376144,NF,6443
SALL1,NDE,6422
PRDM9,NDE,6416
AARD,NDE,6338
LOC105372924,NF,6333
LOC400710,NF,6310
PPFIA4,NDE,6308
USH2A,NDE,6294
KRT19,NDE,6293
LOC105371687,NF,6284
PATZ1,NDE,6255
LINC02133,NF,6241
OR1A2,NF,6228
LOC107985352,NF,6204
LIG4,NDE,6164
LOC105369892,NF,6161
ARMCX4,NDE,6154
LOC107984384,NF,6144
ABHD14B,NDE,6140
RYBP,NDE,6130
ZNF609,NDE,6116
ARR3,NDE,6097
RAB41,NF,6097
LOC107984048,NF,6087
LOC105370756,NF,6087
VAC14,NDE,6081
LOC105375588,NF,6063
LOC105375589,NF,6063
LOC102723833,NF,6059
PEX11B,NDE,6056
IQSEC2,NDE,6015
IFNLR1,NDE,5985
LOC107985738,NF,5983
LOC107987473,NF,5976
LOC105379633,NF,5976
SCO1,NDE,5973
SNORD42B,NF,5968
RPL23A,NDE,5968
COL20A1,NDE,5958
LOC105372770,NF,5950
BACH1-IT3,NF,5950
MFSD14C,NF,5943
PAOX,NDE,5937
TSSK3,NDE,5930
FAM229A,NDE,5930
LOC105374487,NF,5925
LOC105377269,NF,5911
SCFD2,NDE,5910
MIR374C,NF,5902
ATP1B4,NF,5890
DLX1,NDE,5880
YY1AP1,NF,5827
CELF1,NDE,5817
GSTO1,NDE,5798
LOC105374911,NF,5777
LOC105377056,NF,5774
LOC100506476,NF,5738
GUSBP5,NF,5714
MRGPRF-AS1,NF,5712
LOC101930091,NF,5710
FBXL16,NDE,5666
LOC105370807,NF,5641
LOC101928658,NF,5641
VAC14-AS1,NF,5627
TLR8,NDE,5600
BTG3,NDE,5596
CHST2,NDE,5595
RASL12,NDE,5586
GSTO2,NDE,5579
LOC284191,NF,5558
LOC107984187,NF,5548
LOC105369488,NF,5536
ATP10A,NDE,5529
GAS5-AS1,NDE,5491
LOC105378319,NF,5453
LOC107985703,NF,5450
PAK3,NDE,5450
RNF41,NDE,5407
VPS35,NDE,5383
LOC105375237,NF,5381
TBC1D9B,NDE,5376
ATP5IF1,NF,5374
LINC02192,NF,5368
TCF7L1,NDE,5364
LOC102724579,NF,5361
PRRG1,NDE,5354
LOC105376476,NF,5345
LOC107984770,NF,5336
PRKXP1,NDE,5315
CCT6B,NDE,5313
LOC107984850,NF,5310
GAB2,NDE,5289
LOC105375461,NF,5288
LOC100506489,NF,5288
MID2,NDE,5267
PRR15L,NDE,5260
LOC107985338,NF,5256
C16orf46,NF,5243
LINC01951,NF,5232
CCNE1,NDE,5231
ITGB7,NDE,5218
GRTP1,NDE,5213
MBP,NDE,5184
ZNF702P,NDE,5163
LOC105372453,NF,5163
AK2,NDE,5160
LOC105378302,NF,5150
CLCA3P,NF,5109
C16orf70,NF,5105
COLGALT1,NDE,5101
LOC102724417,NF,5067
OR14A2,NF,5056
LOC105373274,NF,5056
LOC105373528,NF,5048
ADCY2,NDE,5043
XKR6,NDE,5038
TRIM38,NDE,5019
FRMD7,NDE,5005
TATDN1,NDE,5002
NDUFB9,NDE,5002
PHF8,NDE,4980
EIF4A2,NDE,4976
RFC4,NDE,4976
ERBB3,NDE,4962
LOC105373831,NF,4960
MID1,NDE,4947
LOC105372217,NF,4946
STC2,NDE,4941
FANCB,NDE,4933
MYRIP,NDE,4924
LOC105373910,NF,4923
BPIFA2,NDE,4923
LOC107986129,NF,4906
LOC105369484,NF,4904
HIF3A,NDE,4901
LOC105372753,NF,4900
GRTP1-AS1,NF,4880
LOC105377248,NF,4877
LINC01634,NF,4870
SPRR1A,NDE,4869
ANKRD30BL,NF,4864
POLR2A,NDE,4855
ZBTB4,NDE,4855
SLC35G6,NDE,4855
UGT1A5,NDE,4826
UGT1A4,NDE,4826
UGT1A8,NDE,4826
UGT1A9,NDE,4826
UGT1A7,NDE,4826
UGT1A10,NDE,4826
UGT1A3,NDE,4826
UGT1A1,NDE,4826
UGT1A6,NDE,4826
PPP3CA,NDE,4823
LOC105374096,NF,4818
PM20D2,NDE,4805
SRSF12,NDE,4805
SMS,NDE,4797
RUNDC1,NDE,4796
LOC101927026,NF,4794
LOC105374404,NF,4789
XPNPEP3,NDE,4760
SDR42E2,NF,4754
LOC105376113,NF,4750
GAPVD1,NDE,4744
EIF1B-AS1,NF,4731
LOC400940,NF,4729
C1orf194,NF,4699
LOC105374600,NF,4699
PSMB7,NDE,4685
LOC105377061,NF,4684
LOC100129034,NF,4683
JCHAIN,NDE,4642
AKNAD1,NDE,4636
LOC105371554,NF,4615
ZNF287,NDE,4614
LINC00470,NF,4612
POM121C,NDE,4609
LOC105377397,NF,4608
LOC105373830,NF,4601
LOC102546294,NF,4599
CYP3A4,NDE,4588
LOC107985737,NF,4586
ADSL,NDE,4580
NRBF2,NDE,4564
PLA2G15,NDE,4564
FAM207A,NDE,4548
LOC107984931,NF,4548
PCDHA10,NF,4542
PCDHA11,NDE,4542
PCDHAC1,NF,4542
PCDHA12,NDE,4542
PCDHA8,NF,4542
PCDHA9,NF,4542
PCDHA13,NDE,4542
PCDHA3,NDE,4542
PCDHA4,NDE,4542
PCDHA1,NDE,4542
PCDHAC2,NDE,4542
PCDHA5,NF,4542
PCDHA2,NDE,4542
PCDHA7,NF,4542
PCDHA6,NDE,4542
SLC12A4,NDE,4541
LOC101927297,NF,4526
LOC101928437,NF,4518
CLIC4,NDE,4478
LOC105373344,NF,4465
NFAM1,NDE,4464
LRP11,NDE,4460
MIR598,NF,4455
LOC105371755,NF,4454
DDX52,NDE,4454
RABGAP1,NDE,4450
LINC01201,NF,4447
LOC105374646,NF,4441
LOC105372633,NF,4426
SPATS2,NDE,4423
MCM2,NDE,4422
LOC107986126,NF,4422
LOC107984026,NF,4418
LOC107984469,NF,4401
SPATA7,NDE,4393
BLMH,NDE,4377
CHRDL1,NDE,4376
PIP5K1B,NDE,4370
MORC4,NDE,4366
LOC105379383,NF,4338
RACGAP1,NDE,4338
DCAF1,NDE,4337
STAT5A,NDE,4321
LOC107984978,NF,4321
CHGA,NDE,4302
IGBP1,NDE,4301
SYT11,NDE,4298
FBF1,NDE,4290
PIK3IP1-AS1,NF,4288
DLG3,NDE,4274
LOC105376731,NF,4264
DESI1,NDE,4254
CKLF-CMTM1,NF,4223
PEX19,NDE,4213
LOC105379354,NF,4210
CMTM1,NDE,4203
SAFB2,NDE,4202
LOC105379198,NF,4185
SPDEF,NDE,4181
KLRD1,NDE,4178
ST6GALNAC6,NDE,4174
ST6GALNAC4,NDE,4173
USB1,NDE,4172
PELP1,NDE,4162
LOC101927069,NF,4137
LOC105379362,NF,4132
SUPT5H,NDE,4125
LOC105377645,NF,4122
LINC01226,NF,4121
CKLF,NDE,4121
LOC105374894,NF,4119
SPINK9,NF,4118
CYP2S1,NDE,4099
ASMTL,NDE,4095
CTXN2,NF,4087
CYP4A22,NDE,4083
SPATA42,NF,4081
LOC105375344,NF,4056
LOC105371075,NF,4052
OTUB1,NDE,4035
TMEM266,NDE,4032
CBFA2T2,NDE,4022
LOC107986114,NF,4022
NRG1-IT3,NF,4021
MIR1255A,NF,4011
TSC22D3,NDE,3996
LOC105370777,NF,3970
LOC105379292,NF,3959
FFAR2,NDE,3952
LOC105374895,NF,3951
TXN,NDE,3936
LOC105369402,NF,3933
ZAN,NF,3921
ACYP2,NDE,3915
SLC25A29,NDE,3909
LOC105373750,NF,3908
CHRDL2,NDE,3904
TIMM17A,NDE,3903
VAMP3,NDE,3896
BREA2,NDE,3896
FBXO22,NDE,3895
LOC105374615,NF,3892
POLQ,NDE,3890
LOC105371756,NF,3884
ESS2,NDE,3855
MTUS2,NDE,3853
LOC107984763,NF,3844
BUB1B,NDE,3844
LINC01384,NF,3842
LOC105369656,NF,3841
SOX5,NDE,3823
LOC101928977,NF,3805
GOLT1B,NDE,3802
KDM6A,NDE,3800
KAT6B,NDE,3798
SCNN1B,NDE,3797
OIP5-AS1,NF,3785
CCNK,NDE,3780
CD47,NDE,3775
ACOX1,NDE,3754
LAMP2,NDE,3747
PLAGL2,NDE,3740
LINC00681,NF,3739
LOC340357,NF,3739
C1orf185,NF,3739
HSD17B7P2,NF,3736
MACROD1,NDE,3716
FLRT1,NDE,3713
POFUT1,NDE,3710
FBXO36,NDE,3698
POMP,NDE,3697
FAM78B,NDE,3693
MIS18A,NDE,3692
AXIN1,NDE,3691
ANKK1,NDE,3683
LOC101929431,NF,3680
SCGB1D1,NDE,3669
PAQR7,NDE,3665
PFKFB1,NDE,3662
PLA2G12A,NDE,3659
LINC01649,NF,3648
ZNF746,NDE,3629
SLC24A5,NDE,3626
KIAA1217,NDE,3611
LOC105369826,NF,3610
MTUS2-AS1,NF,3607
ZNF460,NDE,3600
MIR4535,NF,3595
ARHGEF28,NDE,3591
CILP2,NDE,3585
LOC105377062,NF,3581
LOC107985230,NF,3581
LOC105369701,NF,3571
ZNF81,NF,3565
LINC00561,NF,3554
DAOA-AS1,NF,3543
LOC105377207,NF,3539
LOC105369697,NF,3537
LOC105374601,NF,3529
LOC105370080,NF,3522
LINC02042,NF,3509
LOC101928414,NF,3498
KIAA1522,NDE,3497
ANKDD1B,NF,3484
LINC00880,NF,3480
LINC02029,NF,3480
LOC105378797,NF,3477
TRMT2B,NDE,3461
TRIP11,NDE,3455
ITPKB,NDE,3455
LOC105369450,NF,3450
LOC107986423,NF,3449
RNF112,NDE,3447
LOC107984995,NF,3445
LONRF3,NDE,3440
SLC25A17,NDE,3437
LOC105378917,NF,3429
KRT73,NDE,3428
KRT73-AS1,NF,3428
USP18,NDE,3422
LOC105378199,NF,3419
CALML3-AS1,NF,3414
LINC01343,NF,3410
LOC105376455,NF,3397
LOC107986104,NF,3397
LOC105376714,NF,3391
RDH5,NF,3390
BLOC1S1-RDH5,NF,3390
LOC105371200,NF,3383
LOC105378557,NF,3378
LOC101929628,NF,3375
LOC105375871,NF,3375
ICE2,NDE,3374
CTNNA3,NDE,3355
LOC102031319,NF,3353
EPC1,NDE,3353
C15orf48,NF,3350
MIR147B,NF,3350
EGFLAM,NDE,3328
LOC105371321,NF,3318
LOC107985211,NF,3318
LOC107985497,NF,3314
IREB2,NDE,3312
TRIM62,NDE,3302
GK,NDE,3280
LOC105370974,NF,3279
LOC101927764,NF,3271
LOC105376449,NF,3260
LOC101929165,NF,3258
KEL,NDE,3230
NUS1,NDE,3229
PEX3,NDE,3225
SMARCE1,NDE,3223
APEX2,NDE,3211
LOC105375543,NF,3211
LLCFC1,NDE,3211
TPP1,NDE,3209
LOC105375155,NF,3205
LOC105371361,NF,3198
CNN1,NDE,3194
NEUROD4,NDE,3185
LINC00398,NF,3184
STRAP,NDE,3180
LOC107985712,NF,3169
PTGES3L-AARSD1,NF,3165
PTGES3L,NF,3165
MCU,NDE,3164
YIPF2,NDE,3163
LOC107984309,NF,3161
ZNF34,NDE,3160
POLR3A,NDE,3156
CDC14B,NDE,3149
C1RL-AS1,NF,3137
ST3GAL2,NDE,3136
FUCA2,NDE,3128
KLHL40,NDE,3125
GTF2H3,NDE,3123
TGFB2,NDE,3118
LOC105374459,NF,3118
NUP155,NDE,3116
KC6,NF,3108
EIF2B1,NDE,3100
LOC107983984,NF,3095
LOC101928961,NF,3094
LRRTM3,NDE,3094
ARFGAP1,NDE,3086
MIR4326,NF,3086
TSPAN7,NDE,3085
LOC105373117,NF,3073
TFRC,NDE,3073
EGFLAM-AS4,NF,3068
ATP1A2,NDE,3055
LOC105370460,NF,3049
ANKFY1,NDE,3042
DICER1-AS1,NDE,3039
LINC01700,NF,3035
LOC105379371,NF,3034
THRAP3,NDE,3032
SLC28A2,NDE,3031
MRPL21,NDE,3031
IGHMBP2,NDE,3031
FAM214B,NDE,3029
STK32B,NDE,3028
LOC105377276,NF,3022
LINC01285,NF,3019
ZNF318,NDE,3014
LOC101929439,NF,3010
EPGN,NDE,3007
CTRL,NDE,3002
LOC105378926,NF,3000
LOC107985740,NF,2998
CREB3L3,NDE,2992
LOC105377697,NF,2992
DNAJA4,NDE,2986
LOC105370910,NF,2986
LOC100630923,NF,2979
PRKRIP1,NDE,2979
LOC107986635,NF,2976
TBRG4,NDE,2976
SNORA5B,NF,2975
FAM3D-AS1,NF,2972
KIAA1614,NF,2968
OR2Z1,NDE,2966
DYRK1A,NDE,2955
LOC105372189,NF,2934
LOC105376499,NF,2934
VKORC1,NDE,2915
PRSS53,NDE,2915
C20orf203,NF,2915
LOC105379162,NF,2912
LOC102723966,NF,2911
TMEFF2,NDE,2904
CTSK,NDE,2894
SPPL2A,NDE,2891
LINC-PINT,NDE,2888
STATH,NDE,2887
TBC1D15,NDE,2886
LOC107986424,NF,2883
LOC105373813,NF,2881
LOC101927366,NF,2881
NAPEPLD,NDE,2874
ISM2,NDE,2873
EPHA1-AS1,NF,2868
SHOX,NF,2857
TSPO,NDE,2850
NYNRIN,NDE,2850
DPP3,NDE,2848
KCNJ2,NDE,2847
DIS3L,NDE,2829
LINC00613,NF,2823
MIR4666B,NF,2820
PPARA,NDE,2815
ALB,NDE,2802
CELF2,NDE,2794
OR10AC1,NF,2786
LINC02317,NF,2782
LOC105372797,NF,2782
LINC00642,NF,2782
DHPS,NDE,2769
ABCC12,NDE,2763
TXNDC12,NDE,2751
TNFRSF1A,NDE,2750
TLDC1,NDE,2750
LOC100422781,NF,2738
NAV2,NDE,2737
CSF2RB,NDE,2733
ADPRM,NDE,2728
LOC105372614,NF,2724
GOLPH3,NDE,2723
LOC105372083,NF,2716
LOC105373023,NF,2713
GNRH1,NDE,2710
BMP1,NDE,2708
LOC105373074,NF,2708
SYTL4,NDE,2699
PIGZ,NDE,2693
LOC105373417,NF,2689
EIF4E,NDE,2687
ANKRD29,NDE,2683
NRAV,NDE,2674
DYNLL1,NDE,2674
LOC107987181,NF,2674
LOC105376375,NF,2673
MEGF9,NDE,2669
HS6ST2-AS1,NF,2663
LOC107984917,NF,2663
MAN2A2,NDE,2659
RTF1,NDE,2657
LOC107984197,NF,2653
CNNM3-DT,NF,2650
TSTD3,NDE,2650
USP45,NDE,2650
LOC105369933,NF,2639
NOL9,NDE,2637
CST13P,NF,2637
LOC107984459,NF,2635
ARPP19,NDE,2634
RFC1,NDE,2628
TAS2R10,NDE,2628
UPRT,NDE,2618
GBA3,NDE,2602
SERTAD4,NDE,2588
LOC102723670,NF,2579
CD1E,NF,2579
EGFEM1P,NF,2572
LOC105372202,NF,2563
LOC644554,NF,2559
UHRF1,NDE,2553
ARRDC5,NDE,2553
LOC105369298,NF,2549
PCDH9,NDE,2542
LOC105369625,NF,2539
SFTA1P,NF,2534
LRRCC1,NDE,2532
SERPINB13,NDE,2527
DICER1,NDE,2524
LOC105374362,NF,2524
DNAJB7,NDE,2503
FAM153C,NDE,2502
ZNF341,NDE,2500
ANKDD1A,NDE,2499
MAP7D3,NDE,2499
POLG,NDE,2491
XLOC_008559,NF,2491
POMGNT2,NDE,2490
LOC107986079,NF,2490
LOC107984252,NF,2490
LOC105371953,NF,2487
FAM122C,NDE,2486
LINC00326,NF,2485
TCHHL1,NDE,2480
TMTC3,NDE,2479
RBM26-AS1,NF,2466
LOC105372358,NF,2453
SLC22A16,NDE,2451
LINC01117,NF,2449
LOC107985964,NF,2449
RGAG1,NF,2448
TXNDC12-AS1,NF,2447
LOC105377938,NF,2432
KLHL5,NDE,2428
LOC105374418,NF,2427
LOXL4,NDE,2425
LOC105372360,NF,2413
ST8SIA3,NDE,2409
TGFB2-OT1,NF,2399
LOC101928369,NF,2399
SOX2-OT,NDE,2398
CD9,NDE,2397
TMEM116,NDE,2394
MAPKAPK5,NDE,2394
IPO9,NDE,2391
BPTF,NDE,2385
LOC285766,NF,2377
PGF,NDE,2376
LOC107984689,NF,2376
FLJ40194,NF,2375
ADAM1A,NDE,2366
DCX,NDE,2365
LOC105373440,NF,2359
LINC00842,NF,2354
LOC107986094,NF,2344
GNL3L,NDE,2342
MFGE8,NDE,2339
PSKH1,NDE,2321
ACIN1,NDE,2320
LOC105370780,NF,2315
CNGA2,NDE,2312
ZBTB26,NDE,2311
LINC02530,NF,2303
CPPED1,NDE,2302
LOC102724917,NF,2298
GART,NDE,2291
CDH7,NDE,2289
PHF12,NDE,2289
LOC107985515,NF,2287
FCN2,NF,2287
LINC00160,NF,2287
LOC105372080,NF,2281
CALB1,NDE,2279
FGF14,NDE,2277
MCM8,NDE,2271
MRPS21,NDE,2267
GPR21,NDE,2259
CXorf21,NF,2251
EPB41L1,NDE,2251
MED25,NDE,2249
LOC105370101,NF,2238
LOC105372332,NF,2231
ADAT2,NDE,2231
LPAR5,NDE,2221
LOC105369631,NF,2221
LOC105374668,NF,2220
LINC02223,NF,2220
LOC105370301,NF,2218
SUGP2,NDE,2217
PIP5K1A,NDE,2207
LRRC3C,NDE,2204
LINC01902,NF,2201
LOC105372379,NF,2200
WARS2,NDE,2198
LOC102723427,NF,2192
PMS1,NDE,2192
MIR6766,NF,2189
TEX26-AS1,NF,2189
DCTN3,NDE,2181
TLN2,NDE,2180
EBF2,NDE,2178
MIR4419A,NF,2177
MUM1L1,NDE,2175
TRIM14,NDE,2174
LAPTM5,NDE,2165
LINC01128,NF,2163
AOC3,NDE,2157
LINC00513,NF,2157
LOC105370959,NF,2150
CMAS,NDE,2149
LOC105377530,NF,2141
LINC02275,NF,2141
CYB5D2,NDE,2139
RPS6KA6,NDE,2138
SNTG1,NDE,2130
MAGI1,NDE,2129
LOC101929142,NF,2127
LOC107986849,NF,2124
TDRD9,NDE,2121
LOC107984790,NF,2119
LOC105371595,NF,2113
COL9A2,NDE,2108
LOC102724604,NF,2103
LINC01111,NDE,2100
SPI1,NDE,2092
TRUB2,NDE,2090
C3orf70,NF,2087
BRINP3,NDE,2086
CASC16,NF,2082
LOC105378035,NF,2079
ESYT3,NDE,2069
KMT2A,NDE,2065
LOC101927400,NF,2064
LOC107985936,NF,2064
OR51V1,NF,2063
LOC105371658,NF,2057
ZNF426,NDE,2056
CRYAB,NDE,2043
LOC107985309,NF,2041
RFX1,NDE,2041
CBFB,NDE,2036
SETD3,NDE,2036
MKNK1,NDE,2036
LOC107986195,NF,2028
KDM5C,NDE,2027
FGF14-IT1,NF,2017
LOC105371197,NF,2008
LOC105378392,NF,1999
SLC9A7,NDE,1998
TMEM72-AS1,NF,1997
NSG2,NDE,1997
LOC102724551,NF,1997
C6orf118,NF,1995
RBPJ,NDE,1991
LOC107986484,NF,1985
LOC101927051,NF,1977
PDXP,NDE,1977
LOC105369921,NF,1976
LINC02410,NF,1974
VPS18,NDE,1972
HSPB2-C11orf52,NF,1970
HSPB2,NDE,1970
CERS4,NDE,1967
MTHFS,NDE,1967
ST20-MTHFS,NF,1967
RAD54L,NDE,1958
ARHGEF26,NDE,1957
LOC105374167,NF,1955
NRG1-IT1,NF,1953
DARS,NDE,1951
FCMR,NDE,1947
ZNF717,NF,1946
RAB11FIP2,NDE,1945
FAM183A,NDE,1945
STX18-AS1,NF,1944
LOC105375829,NF,1941
TUBA1C,NDE,1940
LOC107984615,NF,1932
RRM1,NDE,1927
CCDC148,NDE,1927
LOC101928237,NF,1911
ZZEF1,NDE,1907
MYLK3,NDE,1906
C11orf88,NF,1902
LOC105373137,NF,1901
MYCBP2,NDE,1897
LOC105371030,NF,1897
KPRP,NDE,1896
LOC283045,NF,1894
PDHA1,NDE,1893
NHS-AS1,NF,1892
TRAPPC6B,NDE,1887
TMEM178A,NF,1883
BTBD9,NDE,1877
ARHGEF9,NDE,1876
LOC102724928,NF,1872
LOC441728,NF,1865
DPRX,NF,1862
LOC284379,NF,1862
LOC105371276,NF,1861
SLC2A3,NDE,1861
LOC101927480,NF,1859
TTPA,NDE,1855
LOC105378796,NF,1851
CFAP65,NDE,1849
RNASE4,NDE,1845
ANG,NDE,1844
LINC01609,NF,1840
DAPK2,NDE,1836
LOC105372741,NF,1834
LOC107984343,NF,1826
PTK6,NDE,1823
TCF4,NDE,1822
RPL34,NDE,1818
LOC100507562,NF,1816
LOC107986021,NF,1815
C8orf33,NF,1812
ARHGEF1,NDE,1812
LOC107983994,NF,1812
OR10G8,NF,1808
NOTCH3,NDE,1805
LOC107984418,NF,1802
DOCK1,NDE,1801
GSTA1,NDE,1796
LOC101927392,NF,1788
MIR190B,NDE,1785
LOC107984206,NF,1784
LOC105374200,NF,1776
ODR4,NDE,1775
DPCD,NDE,1772
MFN1,NDE,1770
GIMAP8,NDE,1769
ANXA13,NDE,1769
LOC105373796,NF,1769
LOC107984671,NF,1767
RPL34-AS1,NF,1767
SMIM14,NDE,1761
LINC00113,NF,1758
ABCG1,NDE,1757
CEP290,NDE,1755
LOC105374521,NF,1754
DRP2,NDE,1753
PHLDB1,NDE,1750
LOC102723395,NF,1748
CTC-338M12.4,NF,1744
CCDC148-AS1,NF,1742
LOC105377130,NF,1740
BTF3L4,NDE,1738
SNRK,NDE,1736
ZNF69,NF,1733
MRPL46,NDE,1731
CREBBP,NDE,1731
LINC00261,NDE,1730
ARRDC3-AS1,NF,1719
ZDHHC9,NDE,1716
LOC105374946,NF,1713
LOC107984540,NF,1711
MBD2,NDE,1707
STK11IP,NDE,1705
MYLK,NDE,1703
LOC100129175,NF,1702
CENPL,NDE,1701
LOC100507443,NF,1699
LOC105373162,NF,1698
EIF4G1,NDE,1696
LOC105375739,NF,1694
ZNF426-DT,NF,1686
MKNK1-AS1,NF,1686
FLG,NDE,1685
FLG-AS1,NF,1683
EDDM3B,NDE,1683
SCAPER,NDE,1682
LOC107984199,NF,1675
LOC107984693,NF,1673
ALDH1A1,NDE,1669
NARS2,NDE,1664
LOC105374230,NF,1663
SAE1,NDE,1660
CCDC85C,NDE,1659
ZC2HC1C,NDE,1656
ARMC10,NDE,1653
TRAT1,NDE,1647
TCF4-AS1,NF,1643
MIR4529,NF,1642
DNASE1L3,NDE,1642
LUC7L,NDE,1640
NANS,NDE,1639
LOC107985255,NF,1639
HNF1B,NDE,1636
PPP2R5B,NDE,1623
LOC105376600,NF,1619
LOC101927978,NF,1619
VRK3,NDE,1616
LOC101928106,NF,1615
SGIP1,NDE,1614
C5orf66,NF,1605
ADGRF4,NDE,1603
ZNF488,NDE,1599
DHX15,NDE,1597
BBOX1-AS1,NF,1591
LOC105371871,NF,1590
LOC105378271,NF,1588
LOC107987243,NF,1586
QSER1,NDE,1585
BNIP2,NDE,1585
LOC105369388,NF,1583
LOC107984473,NF,1582
LOC105377422,NF,1580
CD99,NDE,1574
LOC100507205,NF,1574
STT3A,NDE,1572
LOC100507557,NF,1571
PDZRN3,NDE,1569
LOC101927369,NF,1569
LOC105374541,NF,1566
CES5AP1,NF,1565
TONSL-AS1,NF,1563
TONSL,NDE,1563
ST6GALNAC1,NDE,1560
AGO4,NDE,1557
LOC105371586,NF,1556
SLC12A1,NDE,1554
TNIP3,NDE,1548
SGSM3,NDE,1548
LOC107985538,NF,1548
LOC107984814,NF,1546
AGPAT2,NDE,1546
ARF1,NDE,1542
LOC105373691,NF,1540
LOC105378552,NF,1540
IFT46,NDE,1537
RHBDD2,NDE,1535
ATRNL1,NDE,1535
NUDT13,NDE,1533
ZNF700,NDE,1533
SELENON,NDE,1533
SNORA11F,NF,1533
PIP5KL1,NDE,1532
LOC105375860,NF,1532
B4GALT5,NDE,1528
DNAAF1,NDE,1526
ZNF883,NDE,1526
LOC101929163,NF,1525
LINC01510,NF,1524
MRNIP,NDE,1524
BTNL2,NDE,1523
LOC105369194,NF,1523
LOC107984715,NF,1516
LRRC31,NDE,1514
HNMT,NDE,1510
ZFP30,NDE,1510
SHPRH,NDE,1508
CXorf57,NF,1507
LOC107985742,NF,1506
LOC107985055,NF,1506
LOC107986965,NF,1506
LOC105376477,NF,1501
LINC01676,NF,1494
FBXO30,NDE,1493
CHMP5,NDE,1488
MTFR2,NDE,1483
QTRT1,NDE,1481
FAM171B,NDE,1477
LINC01898,NF,1473
LOC101929710,NF,1473
LINC00407,NF,1472
DLX6-AS1,NF,1471
SLC26A2,NDE,1469
NDUFV1,NDE,1468
RPS21,NDE,1466
CROCCP3,NDE,1466
TK2,NDE,1462
LINC00593,NF,1458
STAT3,NDE,1458
LOC105375026,NF,1456
LOC105379188,NF,1454
FAM133A,NDE,1454
UGT2B10,NDE,1452
NDRG3,NDE,1449
LOC105376139,NF,1448
RNF185,NDE,1447
LOC105377254,NF,1446
LOC105372881,NF,1445
C9orf129,NF,1444
SERPINB8,NDE,1444
NOVA1,NDE,1443
MRPL39,NDE,1442
HNRNPUL2-BSCL2,NDE,1441
ZZZ3,NDE,1441
HNRNPUL2,NDE,1441
TTC9C,NDE,1441
PCM1,NDE,1438
ARMC4P1,NF,1438
PDZD4,NDE,1435
ZNF41,NF,1434
LOC107985178,NF,1433
CPSF7,NDE,1433
CEP250,NDE,1433
LOC105370781,NF,1428
SPRR3,NDE,1425
LOC101927404,NF,1424
LINC01741,NF,1420
SETD1B,NDE,1414
EIF3A,NDE,1413
PI4KB,NDE,1411
FAM92A1P2,NF,1409
LOC107986328,NF,1409
GLB1,NDE,1408
LOC101927904,NF,1399
ZC3H3,NDE,1397
OSBPL10,NDE,1395
FAM168A,NDE,1393
LOC101927124,NF,1392
LOC101927296,NF,1390
SAMD15,NDE,1389
ZNF670-ZNF695,NF,1387
LOC107986867,NF,1386
LINC00701,NF,1385
SLC25A51,NDE,1383
MEDAG,NDE,1383
PEBP4,NDE,1383
UBE2O,NDE,1382
LYAR,NDE,1378
SUGT1,NDE,1378
SLAMF7,NDE,1376
NHLRC2,NDE,1373
ZFYVE27,NDE,1371
ZNF257,NF,1371
LOC102724146,NF,1370
MINOS1-NBL1,NDE,1369
STK40,NDE,1369
LOC107985637,NF,1365
LOC105373105,NF,1365
GRM8,NDE,1364
SEL1L3,NDE,1364
LOC105373404,NF,1363
LOC107986362,NF,1361
MINOS1,NDE,1357
FAM87A,NF,1353
LOC105372602,NF,1352
LOC100996517,NF,1352
LOC107986964,NF,1349
LOC105374002,NF,1346
LOC101929237,NF,1345
TIPARP,NDE,1343
FAM32A,NDE,1343
LOC107986148,NF,1343
LILRB2,NF,1340
LOC102724333,NF,1340
LINC01772,NF,1338
LOC105375414,NF,1337
ARMC6,NDE,1336
LOC105377095,NF,1335
LOC107985511,NF,1334
LOC105372895,NF,1333
LOC105376609,NF,1333
WSCD2,NDE,1333
HSF2BP,NDE,1331
LOC105374695,NF,1331
LOC105372714,NF,1330
LOC105370461,NF,1329
LOC102723878,NF,1327
LINC01426,NF,1322
CHMP4C,NDE,1315
GPS2,NDE,1314
TPRXL,NF,1314
U2SURP,NDE,1314
OSBPL10-AS1,NF,1313
LOC105372507,NF,1309
LOC107986152,NF,1308
KLRG1,NDE,1304
EBF4,NDE,1302
LOC102723733,NF,1302
LRIT1,NDE,1301
DARS2,NDE,1295
LOC105374869,NF,1295
UBE2B,NDE,1293
REC114,NDE,1292
LOC107984041,NF,1292
LOC107985948,NF,1286
FAM3D,NDE,1285
LINC02349,NF,1284
IGLON5,NDE,1284
TACR3,NDE,1282
LOC105374779,NF,1281
CEP68,NDE,1281
ERV3-1-ZNF117,NF,1280
LINC02546,NF,1279
MTA1,NDE,1278
LOC107984997,NF,1278
PWP1,NDE,1275
LOC105377896,NF,1273
GTPBP4,NDE,1271
M6PR,NDE,1265
LOC105371089,NF,1262
GP5,NDE,1258
LOC105369965,NF,1257
LOC107984008,NF,1255
STK32A-AS1,NF,1255
